class,support_x,predicted_positive_x,precision_baseline,recall_baseline,f1_baseline,auroc_baseline,auprc_baseline,support_y,predicted_positive_y,precision_improved,recall_improved,f1_improved,auroc_improved,auprc_improved,threshold,f1_thresholded
CD,11514,16567,0.5940121929136235,0.8546986277575126,0.7009009650653467,0.9138999717663722,0.7918246622382521,11514,16567,0.5940121929136235,0.8546986277575126,0.7009009650653467,0.9138999655742439,0.7918181163810286,0.7400000000000002,0.7230832987981766
HYP,9161,14553,0.5063560777846492,0.8043881672306517,0.6214894155351269,0.8851798431569747,0.6694657537028269,9161,14553,0.5063560777846492,0.8043881672306517,0.6214894155351269,0.8851798446156094,0.669456133902924,0.6000000000000002,0.6443965517241379
MI,3203,14644,0.18915596831466813,0.8648142366531377,0.3104163164677537,0.87463812138726,0.41064215847929525,3203,14644,0.18915596831466813,0.8648142366531377,0.3104163164677537,0.8746380961953204,0.41064310326619985,0.5800000000000002,0.33229697798781244
NORM,14283,36774,0.3834230706477402,0.9871875656374711,0.5523238733180563,0.8604085403239248,0.7478079493572078,14283,36774,0.3834230706477402,0.9871875656374711,0.5523238733180563,0.8604085479114453,0.7478078956479238,0.5500000000000002,0.5589340757681217
STTC,22971,21192,0.79940543601359,0.7374951025205694,0.7672033149921881,0.84941084884318,0.8477765412976143,22971,21192,0.79940543601359,0.7374951025205694,0.7672033149921881,0.84941084331118,0.8477764826530075,0.5300000000000001,0.7630474180450093
