epoch,lr,train_loss_total,train_loss_main,train_loss_aux,val_loss_total,val_loss_main,val_loss_aux,train_main_f1_macro,train_main_f1_micro,val_main_f1_macro,val_main_f1_micro,val_main_auroc_macro,val_main_auprc_macro,elapsed_sec,train_aux_f1_macro,val_aux_f1_macro,val_aux_f1_micro,val_aux_auroc_macro
1,0.0007,0.8152350066665467,0.7141512258045785,0.6738918396875496,0.7229499266569529,0.6258321431973343,0.6474518455472907,0.6310104028917214,0.71735208571113,0.6703868601627528,0.7471723220226214,0.854954078635304,0.7516464583113389,21.917545080184937,0.6713304679011133,0.6877115702862481,0.7800907392580732,0.7255593837124832
2,0.001,0.7186524141785443,0.6230274910840095,0.6462925737852556,0.7371663660068116,0.6377303302913425,0.662906869554553,0.6830299695444697,0.7612196611204396,0.6748021306447238,0.7465412588177394,0.8576735315084847,0.7434420303527587,21.36036777496338,0.6864692774950284,0.6863501734414674,0.7743654822335025,0.7291734991559234
3,0.0013000000000000002,0.7276911230382292,0.633913914736296,0.6426689618949143,0.7550565450445537,0.6590204546573307,0.6402405861597512,0.6756345876522258,0.7554881516587678,0.709286499945032,0.7944656365164544,0.8722010203191969,0.7741256420285099,21.254653692245483,0.6868949045978917,0.6812432092108934,0.7985938186611982,0.7526206294375895
4,0.0009755527298894294,0.6858961726539561,0.5950228680899813,0.6316016986908224,0.7171201906050799,0.6201307859752083,0.6465960054248606,0.7003014191042446,0.7749583543175919,0.7268808551729637,0.8032891381947985,0.8787001721488027,0.7935343330149064,21.141506671905518,0.6922194985937923,0.6694351283277435,0.8068311195445921,0.7524276219011133
5,0.0009046039886902864,0.6583902591979283,0.5704046287674491,0.6203303469222496,0.6638476465598329,0.5722290487327228,0.6107906176997221,0.713315114348028,0.7853813600639663,0.7416051254542537,0.810328697062309,0.889756088393727,0.8095013513843791,21.155603647232056,0.697749734362988,0.7056919241088955,0.8060503251342946,0.7669221065052166
6,0.0007940987335200904,0.6469416039163841,0.5607618343472462,0.6164684344714859,0.6919113917905542,0.598063964058842,0.6256495037538018,0.7193889366352187,0.7893749267034127,0.7405818796384467,0.8150798722044729,0.8913292476610881,0.813226086168898,20.044910669326782,0.7009105513398112,0.684424231724481,0.8088379458562702,0.7687870576212384
7,0.0006548539886902864,0.6321975351047057,0.5485852672971093,0.6069631654367872,0.6248685071506709,0.5354956229490733,0.5958191997022667,0.7285607866040652,0.7963325231687316,0.7455277780078338,0.8111684370257967,0.8962941200167626,0.8147679315147911,20.21816921234131,0.7081100972382123,0.7179298953182776,0.8193446392641563,0.7789792311926435
8,0.0005005000000000001,0.6179160224451872,0.5374757806880096,0.592717540045465,0.6567208803347647,0.5646314284106072,0.6139296360729068,0.7301120255327604,0.7983705911574764,0.7446026553381546,0.8149225418906102,0.8991713939314652,0.8191925516493967,19.976070404052734,0.7175951282207472,0.7084954080746987,0.8287428835205416,0.7902999112394794
9,0.0003461460113097139,0.6044414590644036,0.5268753212568976,0.5802657256207199,0.6219462808764434,0.534666544686778,0.5818648570607831,0.7362885209580347,0.8035168348486362,0.7538309216761946,0.8215350223546944,0.903265706724364,0.8212591024653315,21.334802627563477,0.7242842525085632,0.7281420284475976,0.8362197670946552,0.7973118189389159
10,0.00020690126647990973,0.5918287473306414,0.5168884809282543,0.569313648990278,0.6200284291381017,0.5338556244951996,0.5744853206595554,0.7414240766341491,0.8076143049336358,0.7517198582451154,0.8204234122042341,0.9043969679148234,0.8262223162426914,21.3735511302948,0.7311572397351708,0.7354778469354328,0.8424864212432106,0.8033666104979752
11,9.639601130971382e-05,0.5770180271514259,0.5043362295824022,0.5608516682478497,0.6473702593932593,0.560883277778332,0.5765798265949555,0.7507553906247244,0.8152570748532586,0.7636672972492853,0.8323706924524629,0.906325434409484,0.8298004211265013,21.269068717956543,0.7377763715432056,0.7319408733778445,0.841197752290047,0.8074750769006281
12,2.5447270110570814e-05,0.5736615628156954,0.5027203228728278,0.5561793303482273,0.6389352846156747,0.5518987351682365,0.5802436248492906,0.7509507527156545,0.8161977386273994,0.7635786189652662,0.8317570610564241,0.907539019980565,0.8299550819800562,20.081804275512695,0.744338606548859,0.7326557546516135,0.8456042249145698,0.8081990081391512
13,0.001,0.5624912684893656,0.4929886583256792,0.553760655797623,0.6212003849191414,0.5362323667097547,0.5664534311516631,0.7531175196358296,0.8173125518022116,0.7617575008033372,0.8298755186721992,0.9088356226103222,0.831615935552386,21.24370837211609,0.7433377036172585,0.7401822134683093,0.8454268292682927,0.8106207137745111
