class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,54,150,0.24666666666666667,0.6851851851851852,0.3627450980392157,0.7410030427027594,0.5837184291842947
HYP,31,66,0.3333333333333333,0.7096774193548387,0.4536082474226804,0.8759437199725464,0.5300475463449491
MI,302,242,0.9380165289256198,0.7516556291390728,0.8345588235294118,0.8987701040681173,0.9613625880398442
NORM,1,82,0.0,0.0,0.0,0.5763546798029557,0.005780346820809248
STTC,204,232,0.6594827586206896,0.75,0.7018348623853211,0.7470781416014682,0.7336887329830901
