class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,5,32,0.125,0.8,0.21621621621621623,0.8373626373626374,0.3661471861471862
HYP,2,5,0.4,1.0,0.5714285714285714,0.9946808510638299,0.8333333333333333
MI,74,51,1.0,0.6891891891891891,0.816,0.9539312039312039,0.9862491089503159
NORM,16,30,0.36666666666666664,0.6875,0.4782608695652174,0.88359375,0.5837489389894265
STTC,0,33,0.0,0.0,0.0,,
