class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,66,75,0.84,0.9545454545454546,0.8936170212765957,0.9889455782312926,0.9765946743093691
HYP,0,25,0.0,0.0,0.0,,
MI,0,13,0.0,0.0,0.0,,
NORM,184,178,0.9887640449438202,0.9565217391304348,0.9723756906077348,0.9941471571906355,0.9973640758694691
STTC,14,48,0.20833333333333334,0.7142857142857143,0.3225806451612903,0.8626152073732719,0.27222165426683814
