class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,993,1221,0.6552006552006552,0.8056394763343404,0.7226738934056007,0.9124610050866363,0.8280943315693495
HYP,559,524,0.6431297709923665,0.6028622540250447,0.6223453370267775,0.908914849980568,0.675841441830631
MI,1104,1494,0.6238286479250335,0.8442028985507246,0.7174749807544265,0.9112376497938172,0.8076729796471803
NORM,3605,3491,0.9298195359495847,0.9004160887656033,0.9148816234498309,0.8790460467239771,0.9744698715351896
STTC,1140,854,0.7704918032786885,0.5771929824561404,0.6599799398194583,0.8970869906575841,0.7732068351449775
