class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,291,437,0.5331807780320366,0.8006872852233677,0.6401098901098901,0.8769565301803638,0.753857960454861
HYP,221,170,0.6882352941176471,0.5294117647058824,0.59846547314578,0.875928075620099,0.6756690347015315
MI,3,190,0.010526315789473684,0.6666666666666666,0.02072538860103627,0.7695368002273373,0.007885130680181741
NORM,350,449,0.6948775055679287,0.8914285714285715,0.7809762202753442,0.9289173296437219,0.8457681996172596
STTC,591,555,0.8018018018018018,0.7529610829103215,0.7766143106457243,0.8588022618479472,0.8496388939084631
