class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,1013,1343,0.5785554728220402,0.7670286278381047,0.6595925297113752,0.8963974988464023,0.7889944380157917
HYP,1224,1406,0.7709815078236131,0.8856209150326797,0.8243346007604563,0.9607922320105242,0.8855647513524368
MI,44,320,0.09375,0.6818181818181818,0.16483516483516483,0.9336608094695438,0.16305266788618314
NORM,1567,1342,0.8919523099850969,0.7638800255264837,0.82296321760055,0.9533677452407705,0.9219395681395602
STTC,2682,2496,0.8826121794871795,0.8214019388516033,0.850907686365392,0.928971724973086,0.9318815563287566
