class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,2,25,0.04,0.5,0.07407407407407407,0.8426966292134832,0.5333333333333333
HYP,0,9,0.0,0.0,0.0,,
MI,73,55,1.0,0.7534246575342466,0.859375,0.9779299847792999,0.9946364319070717
NORM,16,31,0.3870967741935484,0.75,0.5106382978723404,0.7975,0.593728967335926
STTC,0,26,0.0,0.0,0.0,,
