class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,3111,3752,0.644456289978678,0.7772420443587271,0.704648113070086,0.8970352451426604,0.8151829170720517
HYP,2290,2598,0.6755196304849884,0.7663755458515283,0.7180851063829787,0.9295543103477079,0.7663292676429658
MI,1540,2371,0.527203711514129,0.8116883116883117,0.6392227051904884,0.935864135864136,0.7292075174474952
NORM,5749,5740,0.8456445993031358,0.8443207514350322,0.8449821568456785,0.9350295816712243,0.9226804262303906
STTC,5539,5085,0.8176991150442477,0.7506770175121863,0.7827560240963856,0.8997176272401509,0.863855367668044
