class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,993,973,0.7482014388489209,0.7331319234642497,0.7405900305188199,0.9101082307167696,0.8284519269736524
HYP,559,911,0.4884742041712404,0.7960644007155635,0.6054421768707483,0.9065873763302189,0.6667954277314481
MI,1104,1249,0.7133706965572458,0.8070652173913043,0.757331066723332,0.9316689671952694,0.8470208262955196
NORM,3605,3947,0.8935900684063846,0.9783633841886269,0.9340572033898306,0.8661472949902739,0.9711484233558771
STTC,1140,1342,0.6900149031296572,0.8122807017543859,0.7461724415793715,0.9164912845539477,0.8145994396788339
