class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,1012,1132,0.6890459363957597,0.7707509881422925,0.7276119402985075,0.9063899466318756,0.8228453023652152
HYP,575,621,0.6022544283413849,0.6504347826086957,0.6254180602006689,0.9037575048276667,0.6601232882273953
MI,1117,1442,0.651872399445215,0.8415398388540735,0.7346619773348965,0.9214642853011404,0.8262618052260615
NORM,3632,3520,0.9193181818181818,0.8909691629955947,0.9049217002237137,0.8409247251717259,0.9636772448838405
STTC,1165,947,0.7750791974656811,0.6300429184549357,0.6950757575757576,0.9041535450643776,0.7792637897485669
