class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,2417,3320,0.575,0.7898220935043442,0.6655046191389228,0.8997050941775939,0.7936619328755183
HYP,2039,2069,0.7245045915901401,0.735164296223639,0.7297955209347614,0.9339299620560995,0.7883325168690105
MI,1527,2262,0.5503978779840849,0.8153241650294696,0.6571654790182107,0.9345958701367021,0.7459039478900544
NORM,5729,5758,0.881382424452935,0.8858439518240531,0.8836075563680682,0.9502905731238653,0.9529711631215029
STTC,4620,4106,0.8317096931320019,0.7391774891774892,0.7827183130873252,0.9114272144776733,0.876480067224097
