epoch,lr,train_loss_total,train_loss_main,train_loss_aux,val_loss_total,val_loss_main,val_loss_aux,train_main_f1_macro,train_main_f1_micro,val_main_f1_macro,val_main_f1_micro,val_main_auroc_macro,val_main_auprc_macro,elapsed_sec,train_aux_f1_macro,val_aux_f1_macro,val_aux_f1_micro,val_aux_auroc_macro
1,0.001,0.9414323587189278,0.7562841712148772,0.617160605843083,0.966174986065299,0.767870806948289,0.6610139057312547,0.5811944261455259,0.6144231661665068,0.5895027793311721,0.6133982221780802,0.8558324925163415,0.6935157964990964,38.88582754135132,0.6942367975738483,0.6411628970086352,0.6670946000160475,0.7759006111049218
2,0.001,0.8436657869808656,0.6686432957929804,0.5834082851534237,0.858108952266299,0.6768752879531292,0.6041121898524779,0.6352047664134826,0.6683123482219426,0.6319001759619779,0.656877332487743,0.8711081326928554,0.7262796051154237,23.07227396965027,0.7199719638713077,0.693307892506668,0.7049965412653648,0.7995675082292188
3,0.001,0.8091603147206987,0.6386302809899951,0.5684334246158762,0.8737538439478161,0.6868721145640655,0.6229390608290989,0.6490411277298509,0.6816981712749243,0.6438665996617258,0.6689240030097818,0.8765252730867784,0.7395920790203858,14.687166690826416,0.7273064339334386,0.6824354040408566,0.6962207330638379,0.8003772008660821
4,0.001,0.79090985699819,0.6237372512092756,0.5572419978138318,0.8322966061850998,0.6503174874406485,0.6065970316467327,0.6599790470852585,0.6925407659602196,0.6617891796366954,0.6869339574641294,0.8853851475380689,0.7599019731237713,13.13314437866211,0.7342947999447599,0.6825292977691096,0.6949849883242522,0.8139734073063414
5,0.001,0.7762323567432017,0.6124720254008368,0.5458677479079423,0.7977729102697304,0.6303195632834633,0.5581778019856019,0.6666656201940652,0.6994262704304199,0.6802923951108599,0.7103048047263031,0.8932041200683056,0.7722210433517235,13.452857732772827,0.7400122987455863,0.7162290706280632,0.7251458753906141,0.8334456477962936
6,0.001,0.7571279881542274,0.5983402315360513,0.5292925024095566,0.8511976770386339,0.6705037057236116,0.6023132046612303,0.6734186929329196,0.7058187448288291,0.6726246335992745,0.7007291639442804,0.8895312396803693,0.768413092135439,13.478367328643799,0.752600888234514,0.6980332062663289,0.7071811066868049,0.8274796712519755
7,0.001,0.7440220098864094,0.5886437682811303,0.5179274493363766,0.7989622245948356,0.6314167453874484,0.5584849111706016,0.678965856649678,0.7119870419246359,0.6902238958990345,0.7167836764744551,0.8995962332032008,0.7839840641897864,13.780197381973267,0.7617425467533444,0.7212523247581842,0.7303041304772809,0.8504571918276843
8,0.001,0.7288819166505969,0.5774961777524178,0.504619110905322,0.7302184632380099,0.5801921911553426,0.5000875488207643,0.6863101472254299,0.7195962053828322,0.7128105722125742,0.7451955451955452,0.9047563501441808,0.793909290329007,13.017548322677612,0.7680986206006412,0.7661242960538583,0.768245561890351,0.8613660705337972
9,0.001,0.7212788114400834,0.572063972015112,0.49738278398547714,0.6995226835136704,0.5566028157153105,0.47639954275725466,0.6875524459768461,0.7212137676685354,0.7154885478043049,0.7455138662316476,0.9070864705382691,0.7966440175667391,12.849510192871094,0.774358734843,0.7864681577023022,0.7866946295362234,0.8676995377192878
10,0.001,0.7118230172896903,0.5644084701163614,0.49138180730064723,0.745783709481105,0.6024213782085401,0.4778744109294603,0.6927265834359541,0.7257579873716793,0.7081445231661033,0.7423495639928506,0.9060442695838586,0.7959872734593079,13.125244855880737,0.7789922200355885,0.7889643328043308,0.7895863972959724,0.8687077946454475
