class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,77,164,0.34146341463414637,0.7272727272727273,0.46473029045643155,0.8561480606935152,0.6566733695776623
HYP,46,104,0.3076923076923077,0.6956521739130435,0.4266666666666667,0.8451130434782609,0.4208670755287404
MI,303,263,0.870722433460076,0.7557755775577558,0.8091872791519434,0.9168908738699957,0.9109136802515649
NORM,0,103,0.0,0.0,0.0,,
STTC,464,425,0.8188235294117647,0.75,0.7829021372328459,0.7741129435282359,0.880316993423884
