class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,446,609,0.5812807881773399,0.7937219730941704,0.671090047393365,0.8760562170334862,0.7721227176738877
HYP,443,381,0.6902887139107612,0.5936794582392777,0.6383495145631068,0.8698355665085841,0.6957574257805547
MI,2,219,0.0,0.0,0.0,0.47913093196112067,0.0018383838383838383
NORM,350,450,0.5644444444444444,0.7257142857142858,0.635,0.8759804221474458,0.6696822427171053
STTC,1009,942,0.802547770700637,0.7492566897918731,0.7749871860584315,0.818262323722615,0.8451351362493099
