class,support,predicted_positive,precision,recall,f1,auroc,auprc
CD,1011,1412,0.5488668555240793,0.7665677546983185,0.6397028477094511,0.8973973461073639,0.7853797707449497
HYP,1228,1275,0.8023529411764706,0.8330618892508144,0.8174190970834998,0.9556108577633007,0.867703394460213
MI,45,268,0.10820895522388059,0.6444444444444445,0.1853035143769968,0.9255129851116066,0.20092027425784983
NORM,1573,1527,0.8703339882121808,0.8448823903369358,0.8574193548387097,0.9595585565149041,0.9361982318872596
STTC,2671,2391,0.8987871183605186,0.8045675776862599,0.8490715132358752,0.9320488146943271,0.9363026871932896
